time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,-0.000000,-0.000007,-0.000006,-0.001174
0.010000,-0.000000,-0.000002,-0.000063,-0.000170
0.015000,-0.000001,-0.000005,-0.000220,0.000534
0.020000,-0.000003,-0.000065,-0.000521,-0.009669
0.025000,-0.000007,-0.000121,-0.000997,-0.009445
0.030000,-0.000014,-0.000160,-0.001658,-0.009420
0.035000,-0.000024,-0.000216,-0.002494,-0.009479
0.040000,-0.000040,-0.000230,-0.003471,-0.008646
0.045000,-0.000060,-0.000282,-0.004570,-0.010003
0.050000,-0.000087,-0.000296,-0.005722,-0.007344
0.055000,-0.000119,-0.000348,-0.006867,-0.012020
0.060000,-0.000156,-0.000595,-0.007967,-0.021082
0.065000,-0.000199,-0.000720,-0.008992,-0.024773
0.070000,-0.000247,-0.000732,-0.009896,-0.022011
0.075000,-0.000299,-0.000859,-0.010644,-0.020962
0.080000,-0.000354,-0.000592,-0.011241,-0.009456
0.085000,-0.000412,-0.000650,-0.011673,-0.010683
0.090000,-0.000471,-0.000338,-0.011928,-0.001481
0.095000,-0.000531,-0.000351,-0.012053,-0.004423
0.100000,-0.000591,-0.000188,-0.012109,-0.000860
0.105000,-0.000652,0.002923,-0.012157,0.106593
0.110000,-0.000713,0.003359,-0.012251,0.103300
0.115000,-0.000775,0.003970,-0.012443,0.101295
0.120000,-0.000838,0.004373,-0.012768,0.099813
0.125000,-0.000903,0.004976,-0.013263,0.101523
0.130000,-0.000971,0.005396,-0.013946,0.102185
0.135000,-0.001044,0.006012,-0.014845,0.102484
0.140000,-0.001121,0.006425,-0.015951,0.100398
0.145000,-0.001205,0.007023,-0.017263,0.097235
0.150000,-0.001296,0.007328,-0.018762,0.092965
0.155000,-0.001394,0.007877,-0.020469,0.087653
0.160000,-0.001502,0.007924,-0.022392,0.075894
0.165000,-0.001621,0.008378,-0.024511,0.072949
0.170000,-0.001750,0.008649,-0.026787,0.067060
0.175000,-0.001891,0.009041,-0.029229,0.062723
0.180000,-0.002045,0.009384,-0.031855,0.062913
0.185000,-0.002212,0.009760,-0.034556,0.060812
0.190000,-0.002393,0.010257,-0.037278,0.061279
0.195000,-0.002588,0.010616,-0.040084,0.057477
0.200000,-0.002797,0.010967,-0.042983,0.057939
0.205000,-0.003021,0.000228,-0.045886,0.002539
0.210000,-0.003259,0.000223,-0.048777,-0.002228
0.215000,-0.003512,0.000202,-0.051681,-0.004678
0.220000,-0.003779,0.000177,-0.054622,-0.005957
0.225000,-0.004061,0.000130,-0.057539,-0.010318
0.230000,-0.004357,0.000082,-0.060270,-0.016274
0.235000,-0.004666,-0.000015,-0.062865,-0.016949
0.240000,-0.004988,-0.000059,-0.065291,-0.018080
0.245000,-0.005321,-0.000166,-0.067583,-0.018831
0.250000,-0.005665,-0.000390,-0.069740,-0.028766
0.255000,-0.006020,-0.000573,-0.071872,-0.032496
0.260000,-0.006386,-0.000919,-0.073941,-0.042161
0.265000,-0.006762,-0.001180,-0.075907,-0.047453
0.270000,-0.007147,-0.001316,-0.077695,-0.046561
0.275000,-0.007540,-0.001606,-0.079292,-0.051541
