time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000011,0.300030
0.010000,0.000027,0.300057
0.015000,0.000078,0.300105
0.020000,0.000133,0.300143
0.025000,0.000212,0.300210
0.030000,0.000283,0.300260
0.035000,0.000372,0.300344
0.040000,0.000414,0.300407
0.045000,0.000468,0.300509
0.050000,0.000503,0.300583
0.055000,0.000535,0.300704
0.060000,0.000683,0.300790
0.065000,0.000779,0.300928
0.070000,0.000777,0.301027
0.075000,0.000868,0.301183
0.080000,0.000749,0.301293
0.085000,0.000830,0.301468
0.090000,0.000890,0.301590
0.095000,0.001085,0.301782
0.100000,0.001270,0.301916
0.105000,0.012557,0.301282
0.110000,0.012915,0.301363
0.115000,0.013472,0.301489
0.120000,0.013868,0.301576
0.125000,0.014471,0.301711
0.130000,0.014887,0.301804
0.135000,0.015508,0.301948
0.140000,0.015929,0.302047
0.145000,0.016571,0.302200
0.150000,0.016966,0.302305
0.155000,0.017630,0.302467
0.160000,0.017918,0.302578
0.165000,0.018580,0.302749
0.170000,0.019024,0.302866
0.175000,0.019700,0.303045
0.180000,0.020227,0.303168
0.185000,0.020958,0.303357
0.190000,0.021581,0.303486
0.195000,0.022291,0.303683
0.200000,0.022829,0.303818
0.205000,0.013045,0.302966
0.210000,0.013355,0.303065
0.215000,0.013861,0.303216
0.220000,0.014224,0.303319
0.225000,0.014817,0.303476
0.230000,0.015223,0.303583
0.235000,0.015839,0.303746
0.240000,0.016275,0.303857
0.245000,0.016922,0.304026
0.250000,0.017328,0.304141
0.255000,0.018009,0.304316
0.260000,0.018401,0.304434
0.265000,0.019038,0.304615
0.270000,0.019480,0.304738
0.275000,0.020146,0.304925
0.280000,0.020611,0.305051
0.285000,0.021294,0.305244
0.290000,0.021737,0.305375
0.295000,0.022414,0.305574
0.300000,0.022824,0.305708
0.305000,0.032890,0.304750
0.310000,0.033394,0.304858
0.314999,0.034122,0.305021
0.319999,0.034624,0.305131
0.324999,0.035382,0.305298
0.329999,0.035876,0.305412
0.334999,0.036608,0.305584
0.339999,0.037096,0.305700
0.344999,0.037820,0.305876
0.349999,0.038308,0.305996
